PlayerName,TrackerID,KillDeathRatio,WinRatio,TimeSurvived,RoundsPlayed,Wins,WinTop10Ratio,Top10s,Top10Ratio,Losses,Rating,BestRating,DamagePg,HeadshotKillsPg,HealsPg,KillsPg,MoveDistancePg,RoadKillsPg,TeamKillsPg,TimeSurvivedPg,Top10sPg,Kills,Assists,Suicides,TeamKills,HeadshotKills,HeadshotKillRatio,VehicleDestroys,RoadKills,DailyKills,WeeklyKills,RoundMostKills,MaxKillStreaks,Days,LongestTimeSurvived,MostSurvivalTime,AvgSurvivalTime,WinPoints,WalkDistance,RideDistance,MoveDistance,AvgWalkDistance,AvgRideDistance,LongestKill,Heals,Boosts,DamageDealt
Canucks,45853,0.62,0,27578.75,32,0,0,6,18.8,32,1390.99,1438.96,80.87,0.22,0.94,0.62,2109.28,0,0,861.84,0.19,20,0,0,0,7,0.35,0,0,0,0,3,1,15,1971.66,1971.66,861.84,1169,36426.58,31070.39,67496.98,1138.33,970.95,63.4,30,30,2587.94
GZO1208,87482,0.91,0,59657.94,56,0,0,12,21.4,56,1838.43,1813.84,103.3,0.2,0.93,0.91,3422.49,0,0.02,1065.32,0.21,51,2,1,1,11,0.22,0,0,2,5,6,1,23,1964.79,1964.79,1143.86,2535,101819.27,89840.27,191659.53,2490.17,816.73,168.77,52,57,5784.98
AB_SanitY,207363,1.47,0,35270.93,49,0,0,6,12.2,49,1568.78,1566.11,167.68,0.39,2.08,1.47,1893.22,0.02,0,719.81,0.12,72,4,0,0,19,0.26,0,1,0,0,11,1,22,1791.36,1791.36,719.81,1282,51723.1,41044.9,92768,1055.57,837.65,225.55,102,36,8216.34
WolfHz,90658,2.08,7.14,14510.81,14,1,0.33,3,21.4,13,1556.21,1535.97,209.69,0.64,0.79,1.93,3140.27,0.07,0,1036.49,0.21,27,2,0,0,9,0.33,0,1,7,7,8,2,9,1961.55,1961.55,1036.49,1286,18319.56,25644.27,43963.84,1308.54,1831.73,170.3,11,15,2935.68
LukeeSky,147747,0.75,0,86504.4,96,0,0,12,12.5,96,1518.01,1495.04,92.84,0.26,1.29,0.75,3075.74,0.01,0,901.09,0.12,72,4,0,0,25,0.35,0,1,10,15,6,3,42,1895.9,1895.9,827.67,4638,139564.84,155706.24,295271.03,1202.47,1796.91,222.04,124,84,8912.51
POIRU-9,24596,2.8,11.76,26000.04,17,2,0.21,9,52.9,15,1698.65,1564.97,253.94,0.59,0.76,2.47,4553.86,0.06,0,1529.41,0.53,42,0,0,0,10,0.24,0,1,7,29,7,1,10,1896,1896,1333.78,3589,39870.48,37545.09,77415.57,2038.23,2150.31,336.68,13,49,4316.92
Pekoeta,6173,0.97,3.12,31451.82,32,1,0.2,5,15.6,31,1559.26,1697.67,112.3,0.16,0.94,0.94,2024.11,0,0,982.87,0.16,30,1,0,0,5,0.17,0,0,0,0,5,1,18,2013.87,2013.87,982.87,1309,40894.5,23876.92,64771.42,1277.95,746.15,264.54,30,27,3593.5
Fr_w00k,171600,1.5,0,15964.31,14,0,0,4,28.6,14,1476.32,1487.79,184.49,0.29,4.07,1.5,3263.31,0,0,1140.31,0.29,21,3,0,0,4,0.19,0,0,0,21,5,1,4,1926.25,1926.25,1140.31,1230,25138.37,20547.99,45686.36,1795.6,1467.71,320.02,57,30,2582.9
Gank,169758,2.09,4.35,24574.66,23,1,0.17,6,26.1,22,1721.64,1658.72,229.99,0.48,1.22,2,2522.87,0,0,1068.46,0.26,46,2,0,0,11,0.24,0,0,3,3,8,2,11,1893.95,1893.95,1068.46,1421,35192.27,22833.79,58026.06,1530.1,992.77,222.2,28,32,5289.75
challengegamer,31610,0.93,1.46,164735.21,205,3,0.06,25,12.2,202,2213.78,2239.43,129.42,0.18,1.22,0.92,2020.95,0.02,0,803.59,0.12,188,23,1,1,37,0.2,4,4,11,13,9,2,43,2058.66,2058.66,1046.29,2888,232586.48,181708.21,414294.69,1353.09,1352.4,307.52,250,198,26531.17
